t_name,SRR072893,SRR072894
FBtr0114258,0.0,0.0
FBtr0346770,0.0,0.0
FBtr0302440,0.0,0.0
FBtr0302347,23.712564,11.967821
FBtr0346769,0.0,0.0
FBtr0345282,0.0,0.0
FBtr0345281,0.0,0.0
FBtr0300207,0.0,0.0
FBtr0113885,10.997173,0.0
FBtr0301810,19.067923999999998,0.0
FBtr0113895,6.315716,3.93539
FBtr0345179,119.325905,11.631035
FBtr0301812,6.421,0.0
FBtr0113990,26.929454999999997,0.0
FBtr0113991,0.0,0.0
FBtr0344573,0.0,0.0
FBtr0113989,8.754889,0.0
FBtr0336454,0.0,0.0
FBtr0339974,0.0,0.0
FBtr0301942,0.0,0.0
FBtr0113694,0.0,0.0
FBtr0302850,0.0,0.0
FBtr0113687,0.0,0.0
FBtr0113690,0.0,0.0
FBtr0113692,0.0,0.0
FBtr0302846,0.0,0.0
FBtr0302847,0.0,0.0
FBtr0302848,0.0,0.0
FBtr0302849,0.0,0.0
FBtr0114267,0.0,0.0
FBtr0333189,0.0,0.0
FBtr0301809,0.0,0.0
FBtr0078962,0.0,0.0
FBtr0078961,0.0,0.0
FBtr0308946,0.0,0.0
FBtr0078989,0.0,0.0
FBtr0308945,0.0,0.0
FBtr0078964,10.934341,18.783516
FBtr0306022,4.575307,0.0
FBtr0336703,0.0,0.0
FBtr0336704,0.450122,3.0984540000000003
FBtr0336702,4.6991879999999995,1.633699
FBtr0078988,0.0,0.0
FBtr0111206,0.0,0.0
FBtr0078965,0.0,0.0
FBtr0078987,0.0,0.0
FBtr0078966,62.077541000000004,33.338778999999995
FBtr0336705,1.415343,1.9626439999999998
FBtr0336706,4.658643,0.0
FBtr0078986,0.0,22.707514
FBtr0078985,99.437752,96.304817
FBtr0078967,22.42108,22.048744
FBtr0078968,0.0,0.0
FBtr0078969,0.0,0.0
FBtr0078973,0.0,0.0
FBtr0309256,0.0,0.0
FBtr0336707,0.0,0.0
FBtr0078971,0.0,0.0
FBtr0309257,0.0,0.0
FBtr0089688,0.0,0.0
